the,这
stay,停留
fall,落下
oh,哦
nation,国家
plan,计划
cut,切
college,大学
interest,兴趣
death,死亡
course,课程
someone,有人
experience,经验
behind,在后面
reach,抵达
local,当地的
kill,杀
six,六
remain,保持
effect,影响
use,用
yeah,是的
suggest,建议
class,班级
control,控制
raise,增加
care,关心
perhaps,也许
little,小的
late,晚了
hard,难的
field,场地
else,别的
pass,经过
former,以前的
sell,卖
major,重大的
sometimes,有时
require,要求
along,沿着
development,发展
themselves,他们自己
report,报告
role,角色
better,更好的
economic,经济的
effort,努力
up,向上
decide,决定
rate,速度
strong,强的
possible,可能的
heart,心
drug,药品
show,展示
leader,领导者
light,光
voice,语音
wife,妻子
whole,所有的
police,警察
mind,头脑
finally,最后
pull,拉
return,返回
free,自由
military,军队
price,价钱
report,报告
less,较少的
according,根据
decision,决定
explain,解释
son,儿子
hope,希望
even,甚至
develop,发展
view,看法
relationship,关系
carry,携带
town,镇
road,路
drive,驾驶
arm,手臂
TRUE,真的
federal,联邦
break,休息
better,更好的
difference,区别
thank,谢谢
receive,收到
value,价值
international,国际的
building,建筑
action,行动
full,满的
model,模型
join,加入
season,季节
society,社会
because,因为
tax,税
director,导向器
early,早期的
position,位置
player,播放机
agree,同意
especially,尤其
record,记录
pick,挑选
wear,穿
paper,纸
special,特别的
space,空间
ground,地面
form,形式
support,支持
event,事件
official,官方的
whose,谁的
matter,事情
everyone,每个人
center,中央
couple,夫妻
site,地点
end,结尾
project,项目
hit,打
base,根据
activity,活动
star,星星
table,桌子
need,需要
court,法庭
produce,生产
eat,吃
American,美国人
teach,教
oil,油
half,一半
situation,情况
easy,简单
cost,成本
industry,行业
figure,数字
face,脸
street,街道
image,图片
itself,本身
phone,电话
either,任何一个
data,数据
cover,覆盖
quite,相当
picture,图片
clear,清除
practice,实践
piece,片
land,土地
recent,最近的
describe,描述
product,产品
doctor,医生
wall,墙
patient,病人
worker,工人
news,消息
test,测试
movie,电影
certain,肯定
north,北
love,爱
personal,个人的
open,打开
support,支持
simply,简单地
third,第三
technology,技术
catch,抓住
step,步
baby,婴儿
computer,计算机
type,类型
attention,注意力
draw,画
film,电影
Republican,共和党人
tree,树
source,来源
red,红色的
nearly,几乎
organization,组织
choose,选择
cause,原因
hair,头发
look,看
point,观点
century,世纪
evidence,证据
window,窗户
difficult,难的
listen,听
soon,很快
culture,文化
billion,十亿
chance,机会
brother,兄弟
energy,活力
period,时期
course,课程
summer,夏天
less,较少的
realize,意识到
hundred,百
available,可用的
plant,植物
likely,容易
opportunity,机会
term,学期
short,短的
letter,信
condition,健康）状况
choice,选择
place,地方
single,单身的
rule,规则
daughter,女儿
administration,行政
south,南
husband,丈夫
Congress,国会
floor,地面
campaign,活动
material,材料
population,人口
well,好
call,称呼
economy,经济
medical,医疗的
hospital,医院
church,教会
close,关闭
thousand,千
risk,风险
current,当前的
fire,火
future,未来
wrong,错误的
involve,涉及
defense,防御
anyone,任何人
increase,增加
security,安全
bank,银行
myself,我
certainly,当然
west,西
sport,运动
board,木板
seek,寻找
per,每
subject,主题
officer,官
private,私人的
rest,休息
behavior,行为
deal,交易
performance,表现
fight,斗争
throw,扔
top,最佳
quickly,迅速地
past,过去的
goal,目标
second,第二
bed,床
order,命令
author,作者
fill,填
represent,代表
focus,重点
foreign,外国的
drop,降低
plan,计划
blood,血液
upon,之上
agency,机构
push,推
nature,自然
color,颜色
no,不
recently,最近
store,店铺
reduce,降低
sound,声音
note,笔记
fine,美好的
before,前
near,靠近
movement,移动
page,页
enter,进入
share,分享
than,比
common,常见的
poor,贫穷的
other,其他
natural,自然
race,种族
concern,忧虑
series,系列
significant,重大
similar,相似的
hot,热的
language,语
each,每
usually,通常
response,回复
dead,死的
rise,上升
animal,动物
factor,因素
decade,十
article,文章
shoot,射击
east,东
save,节省
seven,七
artist,艺术家
away,离开
scene,场景
stock,股票
career,职业
despite,尽管
central,中央
eight,八
thus,因此
treatment,治疗
beyond,超过
happy,快乐的
exactly,确切地
protect,保护
approach,方法
lie,说谎
size,尺寸
dog,狗
fund,基金
serious,严肃的
occur,发生
media,媒体
ready,准备好
sign,标志
thought,想法
list,列表
individual,个人
simple,简单的
quality,质量
pressure,压力
accept,接受
answer,回答
hard,难的
resource,资源
identify,确认
left,剩下
meeting,会议
determine,决定
prepare,准备
disease,疾病
whatever,任何
success,成功
argue,争论
cup,杯子
particularly,特别
amount,数量
ability,能力
staff,职员
recognize,认出
indicate,表明
character,特点
growth,生长
loss,损失
degree,程度
wonder,想知道
attack,攻击
herself,她自己
region,地区
television,电视
box,盒子
TV,电视
training,训练
pretty,漂亮
trade,贸易
deal,交易
election,选举
everybody,每个人
physical,身体的
lay,外行
general,一般的
feeling,感觉
standard,标准
bill,账单
message,信息
fail,失败
outside,外部
arrive,到达
analysis,分析
benefit,益处
name,姓名
sex,性别
forward,向前
lawyer,律师
present,展示
section,部分
environmental,环境的
glass,玻璃
answer,回答
skill,技能
sister,姐姐
PM,下午
professor,教授
operation,手术
financial,金融
crime,犯罪
stage,阶段
ok,好的
compare,相比
authority,权威
miss,错过
design,设计
sort,种类
one,一
act,行为
ten,十
knowledge,知识
gun,枪
station,车站
blue,蓝色
state,状态
strategy,战略
little,小的
clearly,清楚地
discuss,讨论
indeed,的确
force,力量
truth,真相
song,歌曲
example,例子
democratic,民主的
check,查看
environment,环境
leg,腿
dark,黑暗的
public,民众
various,各种各样的
rather,相当
laugh,笑
guess,猜测
executive,行政人员
set,放
study,学习
prove,证明
hang,悬挂
entire,全部的
rock,岩石
design,设计
enough,足够的
forget,忘记
since,自从
claim,宣称
note,笔记
remove,消除
manager,经理
help,帮助
close,关闭
sound,声音
enjoy,请享用
network,网络
legal,合法的
religious,宗教
cold,寒冷的
form,形式
final,最终的
main,主要的
science,科学
green,绿色
memory,记忆
card,卡片
above,以上
seat,座位
cell,细胞
establish,建立
nice,好的
trial,审判
expert,专家
that,那
spring,春天
firm,公司
Democrat,民主党人
radio,收音机
visit,访问
management,管理
care,关心
avoid,避免
imagine,想象
tonight,今晚
huge,巨大的
ball,球
no,不
close,关闭
finish,结束
yourself,你自己
talk,讲话
theory,理论
impact,影响
respond,回应
statement,陈述
maintain,维持
charge,收费
popular,受欢迎的
traditional,传统的
onto,到
reveal,揭示
direction,方向
weapon,武器
employee,员工
cultural,文化
contain,包含
peace,和平
head,头
control,控制
base,根据
pain,疼痛
apply,申请
play,玩
measure,措施
wide,宽的
shake,摇
fly,飞
interview,面试
manage,管理
chair,椅子
fish,鱼
particular,特定
camera,相机
structure,结构体
politics,政治
perform,履行
bit,少量
weight,重量
suddenly,突然
discover,发现
candidate,候选人
top,最佳
production,生产
treat,对待
trip,旅行
evening,晚上
affect,影响
inside,里面
conference,会议
unit,单元
best,最好的事物
style,风格
adult,成人
worry,担心
range,范围
mention,提到
rather,相当
far,远的
deep,深的
past,过去的
edge,边缘
individual,个人
specific,具体的
writer,作家
trouble,麻烦
necessary,必要的
throughout,始终
challenge,挑战
fear,害怕
shoulder,肩膀
institution,机构
middle,中间
sea,海
dream,梦
bar,酒吧
beautiful,美丽的
property,财产
instead,反而
improve,提升
stuff,东西
detail,细节
method,方法
sign,标志
somebody,谁
magazine,杂志
hotel,酒店
soldier,士兵
reflect,反映
heavy,重的
sexual,有性
cause,原因
bag,包
heat,热
fall,落下
marriage,婚姻
tough,艰难的
sing,唱
surface,表面
purpose,目的
exist,存在
pattern,图案
whom,谁
skin,皮肤
agent,代理人
owner,所有者
machine,机器
gas,气体
down,下
ahead,先
generation,一代
commercial,商业的
address,地址
cancer,癌症
test,测试
item,物品
reality,现实
coach,教练
step,步
Mrs,太太
yard,院子
beat,打
violence,暴力
total,全部的
tend,趋向
investment,投资
discussion,讨论
finger,手指
garden,花园
notice,注意
collection,收藏
modern,现代的
task,任务
partner,伙伴
positive,积极的
civil,国内
kitchen,厨房
consumer,消费者
shot,射击
budget,预算
wish,希望
painting,绘画
scientist,科学家
safe,安全的
agreement,协议
capital,首都
mouth,嘴
nor,也不
victim,受害者
newspaper,报纸
instead,反而
threat,威胁
responsibility,责任
smile,微笑
attorney,律师
score,分数
account,帐户
interesting,有趣的
break,休息
audience,观众
rich,富有的
dinner,晚餐
figure,数字
vote,投票
western,西
relate,涉及
travel,旅行
debate,辩论
prevent,防止
citizen,公民
majority,多数
none,没有任何
front,正面
born,出生
admit,承认
senior,高级的
assume,认为
wind,风
key,钥匙
professional,专业的
mission,使命
fast,快速地
alone,独自的
customer,顾客
suffer,遭受
speech,演讲
successful,成功的
option,选项
participant,参加者
southern,南部的
fresh,新鲜的
eventually,最终
no,不
forest,森林
video,视频
global,全球的
Senate,参议院
reform,改革
access,使用权
restaurant,餐厅
judge,法官
publish,发布
cost,成本
relation,关系
like,喜欢
release,释放
own,自己的
bird,鸟
opinion,观点
credit,信用
critical,危急
corner,角落
concerned,担心的
recall,记起
version,版本
stare,盯
safety,安全
effective,有效的
neighborhood,邻里
original,原来的
act,行为
troop,部队
income,收入
directly,直接地
hurt,伤害
species,物种
immediately,立即地
track,追踪
basic,基本的
strike,罢工
hope,希望
sky,天空
freedom,自由
absolutely,绝对地
plane,飞机
nobody,没有人
achieve,达到
object,目的
attitude,态度
labor,劳工
refer,参考
concept,概念
client,客户
powerful,强大的
perfect,完美的
nine,九
therefore,所以
conduct,执行
announce,宣布
conversation,对话
examine,检查
touch,触碰
please,请
attend,参加
completely,完全地
vote,投票
variety,种类
sleep,睡觉
turn,转动
involved,涉及
investigation,调查
nuclear,核
researcher,研究员
press,按
conflict,冲突
spirit,精神
experience,经验
replace,代替
British,英国的
encourage,鼓励
lot,很多
lot,很多
lot,很多
lot,很多
argument,争论
by,经过
once,一次
camp,营
brain,脑
feature,特征
afternoon,下午
AM,是
weekend,周末
dozen,打
possibility,可能性
along,沿着
insurance,保险
department,部门
battle,战斗
beginning,开始
date,日期
generally,一般来说
African,非洲人
very,非常
sorry,对不起
crisis,危机
complete,完全的
fan,扇子
stick,戳
define,定义
easily,容易地
through,通过
hole,洞
element,元素
vision,想象
status,地位
normal,普通的
Chinese,中国人
ship,船
solution,解决方案
stone,石头
slowly,慢慢地
scale,规模
bit,少量
university,大学
introduce,介绍
driver,司机
attempt,试图
park,公园
spot,点
lack,缺少
ice,冰
boat,船
drink,喝
sun,太阳
front,正面
distance,距离
wood,木头
handle,处理
truck,卡车
return,返回
mountain,山
survey,民意调查
supposed,应该
tradition,传统
winter,冬天
village,村庄
Soviet,苏联
refuse,拒绝
sales,销售量
roll,卷
communication,沟通
run,跑
screen,屏幕
gain,获得
resident,居民
hide,隐藏
gold,金子
club,俱乐部
future,未来
farm,农场
potential,潜在的
increase,增加
middle,中间
European,欧洲的
presence,在场
independent,独立的
district,区
shape,形状
reader,读者
Ms,多发性硬化症
contract,合同
crowd,人群
Christian,基督教
express,表达
apartment,公寓
willing,愿意的
strength,力量
previous,以前的
band,乐队
obviously,明显地
horse,马
interested,感兴趣的
target,目标
prison,监狱
ride,骑
guard,警卫
terms,条款
demand,要求
reporter,记者
deliver,递送
text,文本
share,分享
tool,工具
wild,荒野
vehicle,车辆
observe,观察
flight,航班
inside,里面
facility,设施
understanding,理解
average,平均数
emerge,出现
advantage,优势
quick,快的
light,光
leadership,领导
earn,赚
pound,磅
basis,基础
bright,明亮的
operate,操作
guest,客人
sample,样本
contribute,贡献
tiny,微小的
block,堵塞
protection,保护
settle,定居
feed,喂养
collect,搜集
additional,额外的
while,尽管
highly,高度
identity,身份
title,标题
mostly,大多
lesson,课
faith,信仰
river,河
promote,推动
living,生活
present,展示
count,数数
unless,除非
marry,结婚
tomorrow,明天
technique,技术
path,小路
ear,耳朵
shop,店铺
folk,民间
order,命令
principle,原则
survive,存活
lift,举起
border,边界
competition,竞赛
jump,跳
gather,收集
limit,限制
fit,合身
claim,宣称
cry,哭
equipment,设备
worth,值得
associate,联系
critic,评论家
warm,温暖的
aspect,方面
result,结果
insist,坚持
failure,失败
annual,年度的
French,法语
Christmas,圣诞节
comment,评论
responsible,负责任的
affair,事务
approach,方法
until,直到
procedure,程序
regular,常规的
spread,传播
chairman,主席
baseball,棒球
soft,柔软的
ignore,忽略
egg,蛋
measure,措施
belief,信仰
demonstrate,证明
anybody,任何人
murder,谋杀
gift,礼物
religion,宗教
review,审查
editor,编辑
past,过去的
engage,从事
coffee,咖啡
document,文档
speed,速度
cross,叉
influence,影响
anyway,反正
threaten,威胁
commit,犯罪
female,女性
youth,青年
wave,海浪
move,移动
afraid,害怕
quarter,四分之一
background,背景
native,本国的
broad,广阔
wonderful,精彩的
deny,否定
apparently,显然
slightly,轻微地
reaction,反应
twice,两次
suit,适合
perspective,看法
growing,生长
blow,吹
construction,建造
kind,种类
intelligence,智力
destroy,破坏
cook,厨师
connection,联系
charge,收费
burn,烧伤
shoe,鞋
view,看法
grade,年级
context,语境
committee,委员会
hey,嘿
mistake,错误
focus,重点
smile,微笑
location,地点
clothes,衣服
Indian,印度人
quiet,安静的
dress,裙子
promise,承诺
aware,意识到的
neighbor,邻居
complete,完全的
drive,驾驶
function,功能
bone,骨
active,积极的
extend,延长
chief,首席
average,平均数
combine,结合
wine,葡萄酒
below,以下
cool,凉爽的
voter,选民
mean,意思
demand,要求
learning,学习
bus,公共汽车
hell,地狱
dangerous,危险的
remind,提醒
moral,道德
United,联合的
category,类别
relatively,相对地
victory,胜利
key,钥匙
academic,学术的
visit,访问
Internet,互联网
healthy,健康
fire,火
negative,消极的
following,下列的
historical,历史的
medicine,药物
tour,旅游
depend,依靠
photo,照片
finding,发现
grab,抓住
direct,直接的
classroom,课堂
contact,接触
justice,正义
participate,参加
daily,日常的
fair,公平的
pair,一对
famous,著名的
exercise,锻炼
knee,膝盖
flower,花
tape,胶带
hire,聘请
familiar,熟悉的
appropriate,合适的
supply,供应
fully,充分
cut,切
will,将要
actor,演员
birth,分娩
search,搜索
tie,领带
democracy,民主
eastern,东
primary,基本的
yesterday,昨天
circle,圆圈
device,设备
progress,进步
next,下一个
front,正面
bottom,底部
island,岛
exchange,交换
clean,干净的
studio,工作室
train,火车
lady,女士
colleague,同事
application,应用
neck,脖子
lean,倾斜
damage,损害
plastic,塑料
tall,高
plate,盘子
hate,恨
otherwise,除此以外
writing,写作
press,按
male,男性
start,开始
alive,活
expression,表达
football,足球
intend,打算
attack,攻击
chicken,鸡
army,军队
abuse,虐待
theater,剧院
shut,关闭
map,地图
extra,额外的
session,会议
danger,危险
welcome,欢迎
domestic,国内的
lots,地段
literature,文学
rain,雨
desire,欲望
assessment,评估
injury,受伤
respect,尊重
northern,北方
nod,点头
paint,画
fuel,燃料
leaf,叶子
direct,直接的
dry,干燥
Russian,俄语
instruction,操作说明
fight,斗争
pool,水池
climb,爬
sweet,甜的
lead,带领
engine,引擎
fourth,第四
salt,盐
expand,扩张
importance,重要性
metal,金属
fat,胖的
ticket,票
software,软件
disappear,消失
corporate,公司的
strange,奇怪的
lip,唇
reading,读
urban,城市的
mental,精神的
increasingly,日益
lunch,午餐
educational,教育性
somewhere,某处
farmer,农民
above,以上
sugar,糖
planet,行星
favorite,最喜欢的
explore,探索
obtain,获得
enemy,敌人
greatest,最大
complex,复杂的
surround,环绕
athlete,运动员
invite,邀请
repeat,重复
carefully,小心
soul,灵魂
scientific,科学
impossible,不可能的
panel,控制板
meaning,意义
mom,妈妈
married,已婚
alone,独自的
instrument,仪器
predict,预测
weather,天气
presidential,总统
emotional,情绪化
commitment,承诺
Supreme,最高
bear,熊
pocket,口袋
thin,薄的
temperature,温度
surprise,惊喜
poll,轮询
proposal,提议
consequence,结果
half,一半
breath,呼吸
sight,视力
cover,覆盖
balance,平衡
adopt,采纳
minority,少数民族
straight,直的
attempt,试图
connect,连接
works,作品
teaching,教学
belong,属于
aid,援助
advice,建议
okay,好的
photograph,照片
empty,空的
regional,区域性
trail,踪迹
novel,小说
code,代码
somehow,不知何故
organize,组织
jury,陪审团
breast,胸部
Iraqi,伊拉克人
human,人类
acknowledge,承认
theme,主题
storm,风暴
union,联盟
record,记录
desk,桌子
fear,害怕
thanks,谢谢
fruit,水果
under,在下面
expensive,昂贵的
yellow,黄色
conclusion,结论
prime,主要的
shadow,阴影
struggle,斗争
conclude,得出结论
analyst,分析人士
dance,舞蹈
limit,限制
like,喜欢
regulation,规定
being,存在
last,最后的
ring,戒指
largely,大部分
shift,转移
revenue,收入
mark,标记
locate,定位
county,县
appearance,外貌
package,包裹
difficulty,困难
bridge,桥
recommend,推荐
obvious,明显的
train,火车
basically,基本上
e-mail,电子邮件
generate,产生
anymore,再
propose,提出
thinking,思维
possibly,或者
trend,趋势
visitor,游客
loan,贷款
currently,目前
comfortable,自在
investor,投资者
but,但
profit,利润
angry,生气的
crew,全体人员
deep,深的
accident,事故
male,男性
meal,一顿饭
hearing,听力
traffic,交通
muscle,肌肉
notion,概念
capture,捕获
prefer,更喜欢
truly,真
earth,地球
Japanese,日本人
chest,胸部
search,搜索
thick,厚的
cash,现金
museum,博物馆
beauty,美丽
emergency,紧急情况
unique,独特的
feature,特征
internal,内部的
ethnic,种族的
link,关联
stress,压力
content,内容
select,选择
root,根
nose,鼻子
declare,宣布
outside,外部
appreciate,欣赏
actual,实际的
bottle,瓶子
hardly,几乎不
setting,环境
launch,发射
dress,裙子
file,文件
sick,生病的
outcome,结果
ad,广告
defend,防守
matter,事情
judge,法官
duty,责任
sheet,床单
ought,应该
ensure,确保
Catholic,天主教徒
extremely,极其
extent,程度
component,成分
mix,混合
long-term,长期
slow,减缓
contrast,对比
zone,区
wake,唤醒
challenge,挑战
airport,飞机场
chief,首席
brown,棕色的
standard,标准
shirt,衬衫
pilot,飞行员
warn,警告
ultimately,最终
cat,猫
contribution,贡献
capacity,容量
ourselves,我们自己
estate,财产
guide,指导
circumstance,环境
snow,雪
English,英语
politician,政治家
steal,偷
pursue,追求
slip,滑
percentage,百分比
meat,肉
funny,有趣的
neither,两者都不
soil,土壤
influence,影响
surgery,外科手术
correct,正确的
Jewish,犹太
blame,责备
estimate,估计
due,到期的
basketball,篮球
late,晚了
golf,高尔夫球
investigate,调查
crazy,疯狂的
significantly,显着地
chain,链
address,地址
branch,分支
combination,组合
just,只是
frequently,频繁地
governor,州长
relief,宽慰
user,用户
dad,爸爸
kick,踢
part,部分
manner,方式
ancient,古老的
silence,安静
rating,评分
golden,金的
motion,运动
German,德语
gender,性别
solve,解决
fee,费用
landscape,风景
used,用过的
bowl,碗
equal,平等的
long,长
official,官方的
forth,向前
frame,框架
typical,典型的
except,除了
conservative,保守的
eliminate,排除
host,主持人
hall,大厅
trust,相信
ocean,海洋
score,分数
row,排
producer,制片人
afford,买得起
meanwhile,同时
regime,政权
division,分配
confirm,确认
fix,使固定
appeal,上诉
mirror,镜子
tooth,齿
smart,聪明的
length,长度
entirely,完全
rely,依靠
topic,话题
complain,抱怨
issue,问题
variable,多变的
back,背部
range,范围
telephone,电话
perception,洞察力
attract,吸引
confidence,信心
bedroom,卧室
secret,秘密
debt,债务
rare,稀有的
his,他的
tank,坦克
nurse,护士
coverage,覆盖
opposition,反对
aside,在旁边
anywhere,随地
bond,键
file,文件
pleasure,乐趣
master,掌握
era,时代
requirement,要求
check,查看
stand,站立
fun,乐趣
expectation,期待
wing,翅膀
separate,分离
now,现在
clear,清除
struggle,斗争
mean,意思
somewhat,有些
pour,倒
stir,搅拌
judgment,判断
clean,干净的
except,除了
beer,啤酒
English,英语
reference,参考
tear,眼泪
doubt,怀疑
grant,授予
seriously,严重地
account,帐户
minister,部长
totally,完全
hero,英雄
industrial,工业的
cloud,云
stretch,拉紧
winner,优胜者
volume,体积
travel,旅行
seed,种子
surprised,惊讶
rest,休息
fashion,时尚
pepper,胡椒
separate,分离
busy,忙碌的
intervention,干涉
copy,复制
tip,提示
below,以下
cheap,便宜的
aim,目的
cite,引用
welfare,福利
vegetable,蔬菜
gray,灰色的
dish,盘子
beach,海滩
improvement,改进
everywhere,到处
opening,开盘
overall,总体
divide,划分
initial,最初的
terrible,糟糕的
oppose,反对
contemporary,当代的
route,路线
multiple,多
essential,基本的
question,题
league,联盟
criminal,刑事
careful,小心
core,核
upper,上
rush,匆忙
necessarily,一定
specifically,具体来说
tired,疲劳的
rise,上升
tie,领带
employ,采用
holiday,假期
dance,舞蹈
vast,广阔的
resolution,解析度
household,家庭
fewer,少
abortion,流产
apart,距离
witness,证人
match,比赛
barely,仅仅
sector,扇形
representative,代表
lack,缺少
beneath,下面
beside,旁
black,黑色的
incident,事件
limited,有限的
proud,自豪的
flow,流动
faculty,学院
increased,增加
waste,浪费
merely,仅仅
mass,大量的
emphasize,注重
experiment,实验
definitely,确实
bomb,炸弹
enormous,巨大的
tone,语气
liberal,自由主义的
massive,大量的
engineer,工程师
wheel,车轮
female,女性
decline,衰退
invest,投资
promise,承诺
cable,电缆
towards,向
expose,暴露
rural,乡村的
AIDS,艾滋病
Jew,犹
narrow,狭窄的
cream,奶油
secretary,秘书
gate,门
solid,坚硬的
hill,爬坡道
typically,通常
noise,噪音
grass,草
unfortunately,很遗憾
hat,帽子
legislation,立法
succeed,成功
either,任何一个
celebrate,庆祝
achievement,成就
fishing,钓鱼
drink,喝
accuse,控诉
hand,手
useful,有用
land,土地
secret,秘密
reject,拒绝
talent,天赋
taste,品尝
characteristic,特征
milk,牛奶
escape,逃脱
cast,投掷
sentence,句子
unusual,异常
closely,密切
convince,说服
height,高度
physician,医师
assess,评估
sleep,睡觉
plenty,丰富
ride,骑
virtually,几乎
first,第一的
addition,添加
sharp,锋利的
creative,有创造力的
lower,降低
behind,在后面
approve,批准
explanation,解释
outside,外部
gay,同性恋者
campus,校园
proper,恰当的
live,居住
guilty,有罪
living,生活
acquire,获得
compete,竞争
technical,技术的
plus,加
mind,头脑
potential,潜在的
immigrant,移民
weak,虚弱的
illegal,非法的
hi,你好
alternative,选择
interaction,相互作用
column,柱子
personality,性格
signal,信号
curriculum,课程
list,列表
honor,荣誉
passenger,乘客
assistance,帮助
forever,永远
fun,乐趣
regard,看待
Israeli,以色列
association,协会
twenty,二十
knock,敲
review,审查
wrap,裹
lab,实验室
offer,提供
display,展示
criticism,批评
asset,资产
depression,沮丧
spiritual,精神
musical,音乐
journalist,记者
prayer,祷告
suspect,怀疑
scholar,学者
warning,警告
climate,气候
cheese,起司
observation,意见
childhood,童年
payment,支付
sir,先生
permit,允许
cigarette,香烟
definition,定义
priority,优先事项
bread,面包
creation,创建
graduate,毕业
request,要求
emotion,情感
scream,尖叫
dramatic,戏剧性
universe,宇宙
gap,差距
excellent,优秀
deeply,深
prosecutor,原告
mark,标记
green,绿色
lucky,幸运的
drag,拖
airline,航空公司
library,图书馆
agenda,议程
recover,恢复
factory,工厂
selection,选择
primarily,主要
roof,屋顶
unable,无法
expense,费用
initiative,倡议
diet,饮食
arrest,逮捕
funding,资金
therapy,治疗
wash,洗
schedule,日程
sad,伤心
brief,简短的
housing,住房
post,邮政
purchase,购买
existing,现存的
dark,黑暗的
steel,钢
regarding,关于
shout,喊
remaining,其余的
visual,视觉的
fairly,相当
chip,芯片
violent,暴力
silent,沉默的
suppose,认为
self,自己
bike,自行车
tea,茶
perceive,感知
comparison,比较
settlement,沉降
layer,层
planning,规划
far,远的
description,描述
later,之后
slow,减缓
slide,滑动
widely,广泛
wedding,婚礼
inform,通知
portion,部分
territory,领土
immediate,即时
opponent,对手
abandon,放弃
link,关联
mass,大量的
lake,湖
transform,转变
tension,紧张
display,展示
leading,领导
bother,打扰
consist,组成
alcohol,酒精
enable,使能够
